series examined          : 1450
events examined          : 3200
priced                   : 236
  not a partition        : 2934
  buckets do not tile    : 14
  legs fetched too far apart : 3
  book missing on a leg  : 13
  series that errored    : 0

verified partitions found : 252
across distinct series    : 187

  series                              events   legs  example
  KXMONGOLIAPRES                           1      5  KXMONGOLIAPRES-27
  KXMUSICREPORT                            1     18  KXMUSICREPORT-TOPEQUIV27DEC31
  KXNANAIMOMAYOR                           1      3  KXNANAIMOMAYOR-26OCT17
  KXNBADRAFTPICK                           1     15  KXNBADRAFTPICK-27-1
  KXNBANEXTGOVERNOR                        1      6  KXNBANEXTGOVERNOR-27JAN01LAL
  KXNBARELOCATION                          1     11  KXNBARELOCATION-27POR
  KXNCAAFCONF                              1      5  KXNCAAFCONF-26
  KXNCAAFCOTY                              1     29  KXNCAAFCOTY-27
  KXNEXTATLFED                             1      5  KXNEXTATLFED-30JAN01
  KXNEXTDEF                                1     17  KXNEXTDEF-29
  KXNEXTDEPUTYAG                           1      6  KXNEXTDEPUTYAG-28JAN01
  KXNEXTDNCCHAIR                           1     34  KXNEXTDNCCHAIR-45
  KXNEXTISRAELPM                           1     12  KXNEXTISRAELPM-45JAN01
  KXNEXTJUDICIARYCHAIR                     1      5  KXNEXTJUDICIARYCHAIR-28JAN01
  KXNEXTLABORSEC                           1     16  KXNEXTLABORSEC-29
  KXNEXTMANAGERMLB                         1     14  KXNEXTMANAGERMLB-NYM27
  KXNEXTNATOSECGEN                         1      8  KXNEXTNATOSECGEN-99
  KXNEXTPRESSEC                            1     27  KXNEXTPRESSEC-29JAN21
  KXNEXTROMANIAPM                          1     26  KXNEXTROMANIAPM-45JAN01
  KXNEXTSTATE                              1      5  KXNEXTSTATE-29
  KXNEXTTEAMNFL                            1     32  KXNEXTTEAMNFL-27JALLEN
  KXNFLCOTY                                1     33  KXNFLCOTY-27
  KXNFLDIVLEASTWINS                        1      8  KXNFLDIVLEASTWINS-27
  KXNFLDIVMOSTWINS                         1      8  KXNFLDIVMOSTWINS-27
  KXNFLDRAFTPICK                           1     20  KXNFLDRAFTPICK-27-1
  KXNFLENDSTREAK                           1      5  KXNFLENDSTREAK-40NYJ
  KXNFLEXECOTY                             1     32  KXNFLEXECOTY-27
  KXNHSENGOVCOMBO                          1      4  KXNHSENGOVCOMBO-26NOV
  KXNIGERIASENATE                          1      3  KXNIGERIASENATE-27
  KXNUMREDISTRICTING                       1      7  KXNUMREDISTRICTING-26NOV03
  KXNYCMAYORPERSON                         1     12  KXNYCMAYORPERSON-29
  KXOHSENGOVCOMBO                          1      4  KXOHSENGOVCOMBO-26NOV
  KXONTLIBLEAD                             1      5  KXONTLIBLEAD-26NOV21
  KXOPENAILEADLEFT                         1      6  KXOPENAILEADLEFT-28JAN01B
  KXOPENAISECTOR                           1     12  KXOPENAISECTOR-XX
  KXOSCARACTO                              1     23  KXOSCARACTO-27
  KXOSCARACTR                              1     16  KXOSCARACTR-27
  KXOSCARANIMATED                          1      9  KXOSCARANIMATED-27
  KXOSCARASPLAY                            1     15  KXOSCARASPLAY-27
  KXOSCARCINE                              1     11  KXOSCARCINE-27
  KXOSCARDIR                               1     15  KXOSCARDIR-27
  KXOSCARDOCU                              1      8  KXOSCARDOCU-27
  KXOSCARMAH                               1     14  KXOSCARMAH-27
  KXOSCARPIC                               1     38  KXOSCARPIC-27
  KXOSCARSCORE                             1     13  KXOSCARSCORE-27
  KXOSCARSPLAY                             1     18  KXOSCARSPLAY-27
  KXOSCARSUPACTO                           1     23  KXOSCARSUPACTO-27
  KXOSCARSUPACTR                           1     14  KXOSCARSUPACTR-27
  KXOSCARVIS                               1      8  KXOSCARVIS-27
  KXOSNABRUCKMAYOR                         1      4  KXOSNABRUCKMAYOR-26SEP13
  KXPARAGUAYDEPUTIES                       1      6  KXPARAGUAYDEPUTIES-28
  KXPARAGUAYSENATE                         1      6  KXPARAGUAYSENATE-28
  KXPARLITURKEY                            1      4  KXPARLITURKEY-28
  KXPGARYDER                               1      3  KXPGARYDER-RC27
  KXPHILIPPINESHOUSE                       1      5  KXPHILIPPINESHOUSE-28
  KXPHILIPPINESPRES                        1      5  KXPHILIPPINESPRES-28
  KXPOLANDSEJM                             1      5  KXPOLANDSEJM-27
  KXPRESMATCHUP                            1     16  KXPRESMATCHUP-28NOV07
  KXPRESNIGERIA                            1      4  KXPRESNIGERIA-27
  KXPRESNOMD                               1     47  KXPRESNOMD-28
  KXPRESNOMG                               1      6  KXPRESNOMG-28
  KXPRESNOML                               1     11  KXPRESNOML-28
  KXPRESNOMR                               1     38  KXPRESNOMR-28
  KXPRESOUTCOME                            1     32  KXPRESOUTCOME-28NOV07
  KXPRESPERSON                             1     30  KXPRESPERSON-28
  KXPRESTAIWAN                             1      3  KXPRESTAIWAN-28
